ID,sex,age,worktime,edu,marriage,RL,WM,WD,HL,HW,OC
544,2,35,6,3,4,0.666381766,0.724786325,0.908499525,1.09002849,1.110826211,0.621842355
545,2,37,6,3,4,0.833048433,1.058119658,0.839055081,1.423361823,0.610826211,0.732953466
546,1,25,3,3,2,0.833048433,0.058119658,0.547388414,0.09002849,0.110826211,0.621842355
547,2,32,5,3,4,0.583048433,1.058119658,0.505721747,0.923361823,0.777492877,0.621842355
548,1,29,5,3,1,-0.0002849,-0.275213675,0.241832858,-1.743304843,-0.555840456,0.288509022
549,2,38,7,3,4,1.083048433,1.058119658,0.714055081,1.256695157,0.777492877,0.955175689
550,2,29,5,3,3,0.833048433,0.724786325,0.797388414,-0.076638177,1.110826211,0.621842355
551,2,36,8,3,4,0.833048433,0.391452991,0.880721747,0.923361823,0.944159544,0.732953466
552,2,32,5,3,4,0.583048433,0.724786325,0.283499525,0.923361823,0.777492877,0.399620133
553,2,32,6,3,4,0.2497151,0.724786325,0.519610636,-0.076638177,0.777492877,0.510731244
554,2,32,3,3,4,0.583048433,0.058119658,0.450166192,0.59002849,0.277492877,0.732953466
555,1,36,12,3,4,0.7497151,0.724786325,1.033499525,0.59002849,0.444159544,0.732953466
556,2,27,5,2,1,-0.083618234,1.391452991,0.047388414,0.756695157,0.944159544,0.510731244
557,2,39,13,3,4,0.666381766,1.058119658,0.825166192,0.923361823,0.777492877,1.0662868
558,2,31,6,4,4,0.666381766,0.724786325,0.519610636,0.923361823,0.444159544,0.732953466
559,2,49,30,3,4,1.083048433,1.391452991,1.491832858,1.256695157,1.610826211,1.288509022
560,2,31,9,4,4,0.416381766,0.391452991,0.35294397,0.256695157,0.110826211,0.399620133
561,2,31,8,3,4,-0.5002849,1.058119658,0.672388414,0.756695157,0.777492877,0.844064577
562,2,35,9,2,4,0.666381766,1.058119658,1.116832858,-0.90997151,0.777492877,1.0662868
563,1,24,1,3,2,-2.583618234,-4.608547009,-3.785944919,-1.243304843,-3.055840456,-3.711490978
564,2,31,8,3,4,0.083048433,1.058119658,0.491832858,0.09002849,0.444159544,0.288509022
565,2,28,5,3,3,-0.916951567,0.058119658,-0.383167142,-0.076638177,-0.222507123,-0.822602089
566,2,33,6,3,4,0.9997151,0.724786325,0.991832858,1.256695157,1.110826211,1.177397911
567,2,24,2,3,2,0.7497151,1.058119658,0.60294397,0.256695157,0.277492877,0.399620133
568,2,30,5,3,4,-0.416951567,1.391452991,0.672388414,-0.90997151,0.444159544,0.510731244
569,2,36,10,3,4,0.916381766,0.391452991,0.880721747,0.923361823,0.944159544,0.732953466
570,2,30,6,2,2,-0.416951567,0.058119658,-1.549833808,-1.40997151,-2.555840456,-1.822602089
571,2,31,8,4,4,0.416381766,0.391452991,0.35294397,0.256695157,0.777492877,0.732953466
572,2,31,5,3,4,-0.0002849,0.724786325,0.269610636,0.256695157,0.944159544,0.288509022
573,2,32,8,3,2,0.4997151,-0.941880342,0.658499525,-0.576638177,-0.389173789,0.288509022
574,1,26,5,3,3,0.583048433,1.391452991,1.005721747,1.09002849,1.110826211,0.399620133
575,1,27,5,4,4,-0.166951567,0.724786325,-0.910944919,-1.243304843,-1.222507123,-0.9337132
576,1,52,28,3,4,-1.0002849,1.058119658,-0.285944919,-0.90997151,-1.055840456,-0.267046534
577,1,32,5,2,4,0.9997151,0.724786325,1.019610636,0.756695157,0.944159544,1.0662868
578,1,29,4,3,3,-0.416951567,-0.608547009,-0.355389364,-0.90997151,-0.722507123,-1.044824311
579,1,31,6,2,4,0.916381766,0.391452991,0.97794397,0.756695157,0.944159544,1.0662868
